id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
50,2.7084,1.0304,1.8631,1.2128,2.1592,1.3332,1.3828,2.1252,1.2917,1.7252,1.9787,1.0426,1.4359,1.5176,0.9271,0.6562,2.147,2.0468,1.7116,2.1786,1.6476,2.2896,1.9819,1.2842,1.1429
51,2.7063,1.0196,1.8591,1.2209,2.1614,1.3296,1.3913,2.1233,1.294,1.7229,1.9759,1.0373,1.4377,1.51,0.922,0.6543,2.1456,2.0471,1.7103,2.1712,1.6439,2.2899,1.9797,1.2762,1.1308
52,2.7045,1.0076,1.8549,1.2307,2.1649,1.3262,1.4016,2.1219,1.2974,1.721,1.9734,1.0316,1.4401,1.5017,0.917,0.653,2.1446,2.0479,1.7093,2.1632,1.6402,2.291,1.9775,1.267,1.117
53,2.7028,0.9958,1.8509,1.2409,2.1685,1.3231,1.4122,2.1207,1.3012,1.7194,1.9711,1.0263,1.4428,1.4936,0.9124,0.6524,2.1439,2.049,1.7085,2.1553,1.6368,2.2923,1.9756,1.258,1.1035
54,2.7037,0.9722,1.8446,1.2673,2.1833,1.3215,1.4395,2.1236,1.3148,1.7216,1.9714,1.0179,1.4507,1.4783,0.9076,0.6577,2.1477,2.0556,1.7102,2.1412,1.6336,2.3014,1.9749,1.2383,1.0745
55,2.7028,0.9763,1.8454,1.2617,2.1795,1.321,1.4337,2.1221,1.3114,1.7203,1.9705,1.0191,1.449,1.4808,0.9078,0.6557,2.1461,2.0537,1.7094,2.1434,1.6335,2.2987,1.9745,1.2421,1.0799
56,2.897,1.1785,1.9879,1.283,2.383,1.5293,1.4491,2.3381,1.4484,1.9383,2.1855,1.1768,1.4711,1.6628,1.1157,0.8392,2.3559,2.2006,1.8384,2.3565,1.8282,2.5121,2.1239,1.3396,1.2673
57,2.7237,1.0819,1.8367,1.1399,2.2016,1.367,1.3095,2.1764,1.2653,1.7881,2.0252,1.0266,1.3533,1.5254,0.9608,0.6629,2.1848,2.0243,1.6764,2.2353,1.6634,2.3453,1.9597,1.2385,1.1793
58,2.7099,1.0677,1.813,1.1312,2.2003,1.3556,1.3016,2.1712,1.251,1.7854,2.0176,1.0032,1.3322,1.5036,0.9481,0.6489,2.1769,2.0071,1.6551,2.2247,1.6477,2.3442,1.9389,1.2076,1.16
59,2.7011,1.0575,1.7944,1.1263,2.2034,1.3492,1.2972,2.1703,1.2421,1.7869,2.0146,0.9852,1.315,1.4868,0.9406,0.6409,2.1736,1.9951,1.6389,2.2181,1.6372,2.3472,1.9234,1.181,1.1447
60,2.6926,1.0481,1.7761,1.1222,2.2069,1.3436,1.2935,2.1699,1.234,1.7889,2.012,0.9678,1.2984,1.4704,0.9342,0.6345,2.1709,1.9835,1.6232,2.2119,1.6272,2.3507,1.9082,1.1546,1.1301
61,2.6844,1.0397,1.7582,1.119,2.2109,1.3386,1.2906,2.1699,1.2265,1.7915,2.0099,0.9512,1.2823,1.4545,0.9287,0.6295,2.1685,1.9723,1.608,2.2061,1.6178,2.3546,1.8934,1.1285,1.1162
